entity,fact,text
carbon dioxide,Carbon dioxide is used in a 5.6% mixture with oxygen to establish a baseline pO2 of 0 in blood for oxygenation measurements in a Farhi tonometer assay.,Entity: carbon dioxide. SMILES: O=C=O. Carbon dioxide is used in a 5.6% mixture with oxygen to establish a baseline pO2 of 0 in blood for oxygenation measurements in a Farhi tonometer assay.
methanolic HCI,"Methanolic HCl is used to treat peptides containing pyrrolidone rings, facilitating the opening of the ring and rendering the peptide reactive to phenylisothiocyanate.","Entity: methanolic HCI. SMILES: CO. Methanolic HCl is used to treat peptides containing pyrrolidone rings, facilitating the opening of the ring and rendering the peptide reactive to phenylisothiocyanate."
phenylisothiocyanate,"Phenylisothiocyanate reacts with peptides that have been treated with methanolic HCl, enabling the identification of the N-terminal amino acid.","Entity: phenylisothiocyanate. SMILES: S=C=Nc1ccccc1. Phenylisothiocyanate reacts with peptides that have been treated with methanolic HCl, enabling the identification of the N-terminal amino acid."
oxygen,"Oxygen binds to high spin ferric cytochrome P-450 during its catalytic cycle, following one electron reduction.","Entity: oxygen. SMILES: [O]. Oxygen binds to high spin ferric cytochrome P-450 during its catalytic cycle, following one electron reduction."
pregnenolone,Pregnenolone metabolism can be prevented in mitochondrial assays by adding cyanoketone at a concentration of 3 pM.,Entity: pregnenolone. SMILES: CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. Pregnenolone metabolism can be prevented in mitochondrial assays by adding cyanoketone at a concentration of 3 pM.
triethanolamine hydrochloride,Triethanolamine hydrochloride is included at a concentration of 10 mM in the mitochondrial suspension buffer for EPR assays.,Entity: triethanolamine hydrochloride. SMILES: Cl.OCCN(CCO)CCO. Triethanolamine hydrochloride is included at a concentration of 10 mM in the mitochondrial suspension buffer for EPR assays.
metyrapone,Metyrapone is used as an aqueous solution to study mitochondrial function in EPR assays.,Entity: metyrapone. SMILES: CC(C)(C(=O)c1cccnc1)c1cccnc1. Metyrapone is used as an aqueous solution to study mitochondrial function in EPR assays.
aminoglutethimide,Aminoglutethimide is used as an aqueous solution to investigate mitochondrial activity in EPR assays.,Entity: aminoglutethimide. SMILES: CCC1(c2ccc(N)cc2)CCC(=O)NC1=O. Aminoglutethimide is used as an aqueous solution to investigate mitochondrial activity in EPR assays.
MgCl2,MgCl2 is included at a concentration of 5 mM in the mitochondrial suspension buffer to maintain mitochondrial function in EPR assays.,Entity: MgCl2. SMILES: [Cl-].[Cl-].[Mg+2]. MgCl2 is included at a concentration of 5 mM in the mitochondrial suspension buffer to maintain mitochondrial function in EPR assays.
ethanol,Ethanol is reported to affect the EPR spectra of cytochrome P-450 and is avoided in mitochondrial suspension buffers in EPR assays.,Entity: ethanol. SMILES: CCO. Ethanol is reported to affect the EPR spectra of cytochrome P-450 and is avoided in mitochondrial suspension buffers in EPR assays.
KCI,KCl is included at a concentration of 20 mM in the mitochondrial suspension buffer to support mitochondrial activity in EPR assays.,Entity: KCI. SMILES: [Cl-].[K+]. KCl is included at a concentration of 20 mM in the mitochondrial suspension buffer to support mitochondrial activity in EPR assays.
cyanoketone,"Cyanoketone is added at a concentration of 3 pM to mitochondrial suspensions to prevent metabolism of pregnenolone in EPR assays, without affecting EPR spectra at this concentration.","Entity: cyanoketone. SMILES: N#CC(=O)C#N. Cyanoketone is added at a concentration of 3 pM to mitochondrial suspensions to prevent metabolism of pregnenolone in EPR assays, without affecting EPR spectra at this concentration."
sucrose,Sucrose is used at a concentration of 0.25 M as a component of the mitochondrial suspension buffer in EPR assays.,Entity: sucrose. SMILES: OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O. Sucrose is used at a concentration of 0.25 M as a component of the mitochondrial suspension buffer in EPR assays.
acetone,"Acetone is used to add steroids to mitochondrial suspensions at a final concentration of 50 pM in EPR assays, preferred over ethanol due to its effect on EPR spectra.","Entity: acetone. SMILES: CC(C)=O. Acetone is used to add steroids to mitochondrial suspensions at a final concentration of 50 pM in EPR assays, preferred over ethanol due to its effect on EPR spectra."
sucrose,Sucrose at 0.25 M concentration is used as an ice-cold buffer for storing and homogenising rat adrenal tissue.,Entity: sucrose. SMILES: OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O. Sucrose at 0.25 M concentration is used as an ice-cold buffer for storing and homogenising rat adrenal tissue.
ethylenediamine tetracetic acid,Ethylenediamine tetracetic acid is included at approximately 100 µM in the homogenising medium for rat adrenal tissue preparation.,Entity: ethylenediamine tetracetic acid. SMILES: CC(=O)O.CC(=O)O.CC(=O)O.CC(=O)O.NCCN. Ethylenediamine tetracetic acid is included at approximately 100 µM in the homogenising medium for rat adrenal tissue preparation.
triethanolamine hydrochloride,Triethanolamine hydrochloride is used as a component of the homogenising medium (10 mM) for preparing rat adrenal tissue samples.,Entity: triethanolamine hydrochloride. SMILES: Cl.OCCN(CCO)CCO. Triethanolamine hydrochloride is used as a component of the homogenising medium (10 mM) for preparing rat adrenal tissue samples.
pregnenolone,Pregnenolone can induce shifts in the g values of low spin ferric cytochrome P-450 in rat adrenal fractions.,Entity: pregnenolone. SMILES: CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. Pregnenolone can induce shifts in the g values of low spin ferric cytochrome P-450 in rat adrenal fractions.
cholesterol,"Addition of reducing equivalents can induce cholesterol side-chain cleavage, leading to pregnenolone formation.","Entity: cholesterol. SMILES: CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. Addition of reducing equivalents can induce cholesterol side-chain cleavage, leading to pregnenolone formation."
succinate,"Succinate, as a reducing equivalent, can induce shifts in the g values of low spin ferric cytochrome P-450 in rat adrenal fractions.","Entity: succinate. SMILES: O=C([O-])CCC(=O)[O-]. Succinate, as a reducing equivalent, can induce shifts in the g values of low spin ferric cytochrome P-450 in rat adrenal fractions."
isocitrate,"Isocitrate, as a reducing equivalent, can induce shifts in the g values of low spin ferric cytochrome P-450 in rat adrenal fractions.","Entity: isocitrate. SMILES: O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]. Isocitrate, as a reducing equivalent, can induce shifts in the g values of low spin ferric cytochrome P-450 in rat adrenal fractions."
cholesterol,"Cholesterol serves as a substrate for cytochrome P-450sc c, whose binding to cholesterol within mitochondria is increased by calcium phosphate.","Entity: cholesterol. SMILES: CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. Cholesterol serves as a substrate for cytochrome P-450sc c, whose binding to cholesterol within mitochondria is increased by calcium phosphate."
calcium phosphate,Calcium phosphate at 5 mM increases the magnitude of the high spin ferric cytochrome P-450 EPR spectrum and has no effect on the low spin ferric cytochrome P-450 spectrum in decapsulated adrenal mitochondria.,Entity: calcium phosphate. SMILES: O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2]. Calcium phosphate at 5 mM increases the magnitude of the high spin ferric cytochrome P-450 EPR spectrum and has no effect on the low spin ferric cytochrome P-450 spectrum in decapsulated adrenal mitochondria.
calcium phosphate,"Calcium phosphate stimulates cholesterol side chain cleavage in mitochondria, as indicated by the increase in the magnitude of the pregnenolone inverted type 1 difference spectrum.","Entity: calcium phosphate. SMILES: O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2]. Calcium phosphate stimulates cholesterol side chain cleavage in mitochondria, as indicated by the increase in the magnitude of the pregnenolone inverted type 1 difference spectrum."
calcium phosphate,Calcium phosphate increases the amount of cytochrome P-450sc c bound to cholesterol within mitochondria.,Entity: calcium phosphate. SMILES: O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2]. Calcium phosphate increases the amount of cytochrome P-450sc c bound to cholesterol within mitochondria.
metyrapone,"Metyrapone induces a change in the low spin ferric cytochrome P-450 EPR spectrum and increases the magnitude of the high spin ferric cytochrome P-450 EPR spectrum in liver microsomes, similar to the effect of calcium phosphate.","Entity: metyrapone. SMILES: CC(C)(C(=O)c1cccnc1)c1cccnc1. Metyrapone induces a change in the low spin ferric cytochrome P-450 EPR spectrum and increases the magnitude of the high spin ferric cytochrome P-450 EPR spectrum in liver microsomes, similar to the effect of calcium phosphate."
aniline,"Aniline induces a change in the low spin ferric cytochrome P-450 EPR spectrum and increases the magnitude of the high spin ferric cytochrome P-450 EPR spectrum in liver microsomes, similar to the effect of calcium phosphate.","Entity: aniline. SMILES: Nc1ccccc1. Aniline induces a change in the low spin ferric cytochrome P-450 EPR spectrum and increases the magnitude of the high spin ferric cytochrome P-450 EPR spectrum in liver microsomes, similar to the effect of calcium phosphate."
pregnenolone,"The magnitude of the pregnenolone inverted type 1 difference spectrum increases in response to calcium phosphate in mitochondria, reflecting enhanced cholesterol side chain cleavage.","Entity: pregnenolone. SMILES: CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. The magnitude of the pregnenolone inverted type 1 difference spectrum increases in response to calcium phosphate in mitochondria, reflecting enhanced cholesterol side chain cleavage."
DL-isocitrate,"DL-isocitrate at 5 mM causes small shifts in the g1 and gα lines of the EPR spectrum of low spin ferric cytochrome P-450 in decapsulated adrenal mitochondria, without affecting the g2 or g = 7.8 signals.","Entity: DL-isocitrate. SMILES: O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]. DL-isocitrate at 5 mM causes small shifts in the g1 and gα lines of the EPR spectrum of low spin ferric cytochrome P-450 in decapsulated adrenal mitochondria, without affecting the g2 or g = 7.8 signals."
pregnenolone,"Pregnenolone at 50 µM does not affect the magnitude of the EPR spectrum of low spin ferric cytochrome P-450 in decapsulated adrenal mitochondria, but causes loss of the g–8.1 signal without decreasing the g = 7.8 signal.","Entity: pregnenolone. SMILES: CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. Pregnenolone at 50 µM does not affect the magnitude of the EPR spectrum of low spin ferric cytochrome P-450 in decapsulated adrenal mitochondria, but causes loss of the g–8.1 signal without decreasing the g = 7.8 signal."
succinate,"Succinate at 2.5 mM produces small shifts in the g1 and gα lines of the EPR spectrum of low spin ferric cytochrome P-450 in decapsulated adrenal mitochondria, similar to DL-isocitrate.","Entity: succinate. SMILES: O=C([O-])CCC(=O)[O-]. Succinate at 2.5 mM produces small shifts in the g1 and gα lines of the EPR spectrum of low spin ferric cytochrome P-450 in decapsulated adrenal mitochondria, similar to DL-isocitrate."
cholesterol,"Cholesterol forms a complex with cytochrome P-450s¢ c, as identified by a high spin ferric EPR signal at g = 8.1 in rat adrenal mitochondria.","Entity: cholesterol. SMILES: CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. Cholesterol forms a complex with cytochrome P-450s¢ c, as identified by a high spin ferric EPR signal at g = 8.1 in rat adrenal mitochondria."
18-hydroxycholesterol,"Addition of 200–hydroxycholesterol to bovine adrenal cortex mitochondria leads to a loss of the g = 8.1 EPR signal for high spin ferric cytochrome P-450 and an increase in the low spin form, due to increased concentration of the high spin form.","Entity: 18-hydroxycholesterol. SMILES: CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12CO. Addition of 200–hydroxycholesterol to bovine adrenal cortex mitochondria leads to a loss of the g = 8.1 EPR signal for high spin ferric cytochrome P-450 and an increase in the low spin form, due to increased concentration of the high spin form."
isocitrate,"Addition of isocitrate to rat adrenal mitochondria causes a loss of the EPR spectra of high spin cytochrome P-450, indicating conversion of endogenous cholesterol to pregnenolone.","Entity: isocitrate. SMILES: O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]. Addition of isocitrate to rat adrenal mitochondria causes a loss of the EPR spectra of high spin cytochrome P-450, indicating conversion of endogenous cholesterol to pregnenolone."
pregnenolone,"Addition of pregnenolone to rat adrenal mitochondria specifically removes the component with the g = 8.08 EPR signal, presumably by converting it to low spin ferric cytochrome P-450.","Entity: pregnenolone. SMILES: CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. Addition of pregnenolone to rat adrenal mitochondria specifically removes the component with the g = 8.08 EPR signal, presumably by converting it to low spin ferric cytochrome P-450."
cytochrome P-450,"The low spin ferric cytochrome P-450 with g = 2.424 in rat adrenal zona fasciculata mitochondria is attributed to cholesterol side chain cleavage cytochrome P-450, and the high spin ferric cytochrome P-450 with g = 8.08 is attributed to 11beta-hydroxylase cytochrome P-450.","Entity: cytochrome P-450. The low spin ferric cytochrome P-450 with g = 2.424 in rat adrenal zona fasciculata mitochondria is attributed to cholesterol side chain cleavage cytochrome P-450, and the high spin ferric cytochrome P-450 with g = 8.08 is attributed to 11beta-hydroxylase cytochrome P-450."
cytochrome P-450,"In rat adrenal zona fasciculata mitochondria, low spin ferric cytochrome P-450 is associated with EPR g values of 2.424, 2.248, and 1.917, while high spin ferric cytochrome P-450 is associated with g values of 8.08 and 7.80.","Entity: cytochrome P-450. In rat adrenal zona fasciculata mitochondria, low spin ferric cytochrome P-450 is associated with EPR g values of 2.424, 2.248, and 1.917, while high spin ferric cytochrome P-450 is associated with g values of 8.08 and 7.80."
cytochrome P-450,"In rat adrenal microsomal cytochrome P-450, low spin ferric g values are 2.417, 2.244, and 1.919, and high spin ferric gxy values are 7.90 and 3.85.","Entity: cytochrome P-450. In rat adrenal microsomal cytochrome P-450, low spin ferric g values are 2.417, 2.244, and 1.919, and high spin ferric gxy values are 7.90 and 3.85."
digitonin,"Digitonin is used to remove lysosomal enzymes from mitochondrial preparations, as in the LOWENSTEINS procedure for mitochondrial isolation.","Entity: digitonin. SMILES: C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C. Digitonin is used to remove lysosomal enzymes from mitochondrial preparations, as in the LOWENSTEINS procedure for mitochondrial isolation."
sucrose,"Sucrose is used to form gradients for density-based separation of mitochondria, allowing the identification of mitochondrial subpopulations based on their buoyant density.","Entity: sucrose. SMILES: OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O. Sucrose is used to form gradients for density-based separation of mitochondria, allowing the identification of mitochondrial subpopulations based on their buoyant density."
cytochrome b,Mitochondria of rat kidney red medulla contain more cytochrome b than the M1 mitochondrial population that predominates in the cortex.,Entity: cytochrome b. Mitochondria of rat kidney red medulla contain more cytochrome b than the M1 mitochondrial population that predominates in the cortex.
insulin,Insulin is directly catabolized in the renal interstitium due to the high permeability of peritubular capillaries to insulin.,Entity: insulin. Insulin is directly catabolized in the renal interstitium due to the high permeability of peritubular capillaries to insulin.
insulin,"Insulin undergoes uptake from the tubular fluid by renal tubules, a process that can be inhibited by diuretics acting primarily on the proximal tubules.","Entity: insulin. Insulin undergoes uptake from the tubular fluid by renal tubules, a process that can be inhibited by diuretics acting primarily on the proximal tubules."
ribulose bisphosphate,"Ribulose bisphosphate concentration in Chlorella pyrenoidosa is about 2 mM, which is sufficient to significantly increase the extent of activation of the ribulose bisphosphate-binding enzyme.","Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. Ribulose bisphosphate concentration in Chlorella pyrenoidosa is about 2 mM, which is sufficient to significantly increase the extent of activation of the ribulose bisphosphate-binding enzyme."
ribulose bisphosphate,Ribulose bisphosphate increases the final activation state (ne) of the ribulose bisphosphate-binding enzyme from R. rubrum without inhibiting the rate of activation or catalysis.,Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. Ribulose bisphosphate increases the final activation state (ne) of the ribulose bisphosphate-binding enzyme from R. rubrum without inhibiting the rate of activation or catalysis.
ribulose bisphosphate,"The catalytic site for ribulose bisphosphate on the active enzyme of R. rubrum cannot bind 6-phosphogluconate, indicating a functionally distinct site.","Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. The catalytic site for ribulose bisphosphate on the active enzyme of R. rubrum cannot bind 6-phosphogluconate, indicating a functionally distinct site."
NADPH,NADPH is suggested to act as an effector that binds with high affinity to an effector site on the higher-plant ribulose bisphosphate-binding enzyme and promotes activation.,Entity: NADPH. SMILES: NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1. NADPH is suggested to act as an effector that binds with high affinity to an effector site on the higher-plant ribulose bisphosphate-binding enzyme and promotes activation.
6-phosphogluconate,"6-phosphogluconate binds to an effector site on the higher-plant ribulose bisphosphate-binding enzyme and promotes activation, but at a concentration of 0.2 mM it has little effect on the rate of activation.","Entity: 6-phosphogluconate. SMILES: O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O. 6-phosphogluconate binds to an effector site on the higher-plant ribulose bisphosphate-binding enzyme and promotes activation, but at a concentration of 0.2 mM it has little effect on the rate of activation."
6-phosphogluconate,6-phosphogluconate competes with ribulose bisphosphate for the ribulose bisphosphate catalytic site on both inactive and active plant enzymes and decreases the rate of activation of inactive enzyme and catalysis by active enzyme.,Entity: 6-phosphogluconate. SMILES: O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O. 6-phosphogluconate competes with ribulose bisphosphate for the ribulose bisphosphate catalytic site on both inactive and active plant enzymes and decreases the rate of activation of inactive enzyme and catalysis by active enzyme.
6-phosphogluconate,"6-phosphogluconate decreases KCKMg, which may increase the extent of activation at physiological concentrations of CO2 and potentially enhance photosynthesis in vivo.","Entity: 6-phosphogluconate. SMILES: O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O. 6-phosphogluconate decreases KCKMg, which may increase the extent of activation at physiological concentrations of CO2 and potentially enhance photosynthesis in vivo."
6-phosphogluconate,"6-phosphogluconate acts as a substrate for ribulose bisphosphate carboxylase, and its concentration affects the enzyme's activation kinetics.","Entity: 6-phosphogluconate. SMILES: O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O. 6-phosphogluconate acts as a substrate for ribulose bisphosphate carboxylase, and its concentration affects the enzyme's activation kinetics."
ribulose bisphosphate,"Ribulose bisphosphate serves as a substrate for ribulose bisphosphate carboxylase, and its concentration influences the kinetics of enzyme activation.","Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. Ribulose bisphosphate serves as a substrate for ribulose bisphosphate carboxylase, and its concentration influences the kinetics of enzyme activation."
ribulose bisphosphate,Ribulose bisphosphate is used as a substrate to study its effect on the activation rate and equilibrium of enzyme activity assays at 30°C in Tris/HCl buffer (pH 8.2) with MgCl2 and NaH14CO3.,Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. Ribulose bisphosphate is used as a substrate to study its effect on the activation rate and equilibrium of enzyme activity assays at 30°C in Tris/HCl buffer (pH 8.2) with MgCl2 and NaH14CO3.
6-phosphogluconate,6-phosphogluconate is used as a substrate to investigate its impact on the activation rate and equilibrium of enzyme activity in Tris/HCl buffer (pH 8.2) with MgCl2 and NaH14CO3 at 30°C.,Entity: 6-phosphogluconate. SMILES: O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O. 6-phosphogluconate is used as a substrate to investigate its impact on the activation rate and equilibrium of enzyme activity in Tris/HCl buffer (pH 8.2) with MgCl2 and NaH14CO3 at 30°C.
3-Phosphoglyceric acid,3-Phosphoglyceric acid is used as a substrate to measure the effect of ribulose bisphosphate and 6-phosphogluconate on the activation process of an enzyme in a Tris/HCl buffer (pH 8.2) assay at 30°C.,Entity: 3-Phosphoglyceric acid. SMILES: O=C(O)C(O)COP(=O)(O)O. 3-Phosphoglyceric acid is used as a substrate to measure the effect of ribulose bisphosphate and 6-phosphogluconate on the activation process of an enzyme in a Tris/HCl buffer (pH 8.2) assay at 30°C.
6-phosphogluconate,"6-phosphogluconate increases the activation of inactive R. rubrum ribulose bisphosphate carboxylase in the presence of CO2 and Mg2+, but this stimulation decreases as CO2 concentration increases.","Entity: 6-phosphogluconate. SMILES: O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O. 6-phosphogluconate increases the activation of inactive R. rubrum ribulose bisphosphate carboxylase in the presence of CO2 and Mg2+, but this stimulation decreases as CO2 concentration increases."
6-phosphogluconate,The response of activation extent to CO2 for R. rubrum ribulose bisphosphate carboxylase is used to measure the product KCKMg.,Entity: 6-phosphogluconate. SMILES: O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O. The response of activation extent to CO2 for R. rubrum ribulose bisphosphate carboxylase is used to measure the product KCKMg.
CO2,"CO2 concentration modulates the activation of R. rubrum ribulose bisphosphate carboxylase, with increased CO2 reducing the extent of activation stimulated by 6-phosphogluconate.","Entity: CO2. SMILES: O=C=O. CO2 concentration modulates the activation of R. rubrum ribulose bisphosphate carboxylase, with increased CO2 reducing the extent of activation stimulated by 6-phosphogluconate."
NaHCO3,NaHCO3 is used to provide bicarbonate (CO2) for measuring light-dependent CO2 fixation in R. rubrum whole-cell assays.,Entity: NaHCO3. SMILES: O=C([O-])O.[Na+]. NaHCO3 is used to provide bicarbonate (CO2) for measuring light-dependent CO2 fixation in R. rubrum whole-cell assays.
ribulose bisphosphate,The Km for ribulose bisphosphate was determined for the active enzyme in the context of CO2-dependent fixation assays.,Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. The Km for ribulose bisphosphate was determined for the active enzyme in the context of CO2-dependent fixation assays.
CO2,The Km for CO2 was determined for the active enzyme in the context of CO2-dependent fixation assays.,Entity: CO2. SMILES: O=C=O. The Km for CO2 was determined for the active enzyme in the context of CO2-dependent fixation assays.
CO2,"The enzyme assays for CO2 fixation were linear over a 30-second period at CO2 concentrations used, indicating no deactivation at low CO2.","Entity: CO2. SMILES: O=C=O. The enzyme assays for CO2 fixation were linear over a 30-second period at CO2 concentrations used, indicating no deactivation at low CO2."
HCl,HCl is used to stop enzymatic reactions in assay mixtures and to prepare 1 M-HCl in ethanol for sample collection and radioactivity counting.,Entity: HCl. SMILES: Cl. HCl is used to stop enzymatic reactions in assay mixtures and to prepare 1 M-HCl in ethanol for sample collection and radioactivity counting.
NaHCO3,"NaHCO3 is included in enzyme assay mixtures to activate inactive enzyme, with variable concentrations tested.","Entity: NaHCO3. SMILES: O=C([O-])O.[Na+]. NaHCO3 is included in enzyme assay mixtures to activate inactive enzyme, with variable concentrations tested."
ethanol,Ethanol is used to prepare 1 M-HCl for sample collection and radioactivity counting in enzyme assay protocols.,Entity: ethanol. SMILES: CCO. Ethanol is used to prepare 1 M-HCl for sample collection and radioactivity counting in enzyme assay protocols.
ribulose bisphosphate,Ribulose bisphosphate is used as an effector in enzyme assay mixtures at concentrations of 0.5–0.92 mM.,Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. Ribulose bisphosphate is used as an effector in enzyme assay mixtures at concentrations of 0.5–0.92 mM.
MgCl2,"MgCl2 is used as an activator in enzyme assay mixtures, with concentrations ranging from 0 to 20 mM depending on the experimental protocol.","Entity: MgCl2. SMILES: [Cl-].[Cl-].[Mg+2]. MgCl2 is used as an activator in enzyme assay mixtures, with concentrations ranging from 0 to 20 mM depending on the experimental protocol."
NaH14CO3,NaH14CO3 serves as a substrate in enzyme assay mixtures at a concentration of 0.7 mM (5 Ci/mol).,Entity: NaH14CO3. SMILES: O=[14C]([O-])O.[Na+]. NaH14CO3 serves as a substrate in enzyme assay mixtures at a concentration of 0.7 mM (5 Ci/mol).
(NH4)2SO4,(NH4)2SO4 is removed from enzyme preparations by Sephadex G-25 chromatography to prevent interference in enzyme assays.,Entity: (NH4)2SO4. SMILES: O=S(=O)([O-])[O-].[NH4+].[NH4+]. (NH4)2SO4 is removed from enzyme preparations by Sephadex G-25 chromatography to prevent interference in enzyme assays.
ribulose bisphosphate,"Ribulose bisphosphate is a substrate involved in the activation of spinach ribulose bisphosphate carboxylase, with 0.73 mM ribulose bisphosphate used in the assay described by Lorimer et al. (1976).","Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. Ribulose bisphosphate is a substrate involved in the activation of spinach ribulose bisphosphate carboxylase, with 0.73 mM ribulose bisphosphate used in the assay described by Lorimer et al. (1976)."
ribulose bisphosphate,"In R. rubrum, ribulose bisphosphate has little effect on the rate of activation of the R. rubrum enzyme but strongly increases the extent of activation.","Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. In R. rubrum, ribulose bisphosphate has little effect on the rate of activation of the R. rubrum enzyme but strongly increases the extent of activation."
ribulose bisphosphate,"In higher plants, ribulose bisphosphate strongly inhibits the initial rate of activation of the plant enzyme.","Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. In higher plants, ribulose bisphosphate strongly inhibits the initial rate of activation of the plant enzyme."
MgCl2,MgCl2 is used at a concentration of 10 mM during activation and catalysis assays of ribulose bisphosphate carboxylase.,Entity: MgCl2. SMILES: [Cl-].[Cl-].[Mg+2]. MgCl2 is used at a concentration of 10 mM during activation and catalysis assays of ribulose bisphosphate carboxylase.
NaHCO3,NaHCO3 is used at a concentration of 20 mM as the buffer component in activation assays of ribulose bisphosphate carboxylase.,Entity: NaHCO3. SMILES: O=C([O-])O.[Na+]. NaHCO3 is used at a concentration of 20 mM as the buffer component in activation assays of ribulose bisphosphate carboxylase.
ribulose bisphosphate,Ribulose bisphosphate is used at a concentration of 0.5 mM as the substrate in assays measuring the specific activity of ribulose bisphosphate carboxylase.,Entity: ribulose bisphosphate. SMILES: O=C(CO)[C@H](O)[C@H](O)CO.O=P(O)(O)O.O=P(O)(O)O. Ribulose bisphosphate is used at a concentration of 0.5 mM as the substrate in assays measuring the specific activity of ribulose bisphosphate carboxylase.
CO2,CO2 is used at a subsaturating concentration during activation and catalysis assays of ribulose bisphosphate carboxylase to analyze its activation process.,Entity: CO2. SMILES: O=C=O. CO2 is used at a subsaturating concentration during activation and catalysis assays of ribulose bisphosphate carboxylase to analyze its activation process.
